Report Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organization Name,Organization Address,Organization City,Organization State,Organization ZIP,Jurisdiction,Organization Country,Phone,Status,Case Number,Patient ID,Other Idenifier,Class,Common Species Name,Species,Subspecies,Genus,TSN Code,Gender,Patient Flag,Date Found,Time Found,Date Admitted,Time Admitted,Details of rescue,Care Given,Circumstances of Rescue,Primary,Suspected/Observed,Admission Comments,Rescue State,Rescue Juristiction,Rescue Address,Other Rescue Information,Latitude,Longitude,Elevation
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,12-0017090,12-1234,red band,Reptiles,Eastern Painted Turtle,picta,picta,Chrysemys,208620,Male,,09/19/2012,,09/28/2012,,jaksjdfhk,,Collision,Yes,Suspected,,FL,Citrus County,,,39.812964939573,-98.547058288826,561.8751220703
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,12-0017091,120926-02,grn band 58 L,Mammals,Eastern Cottontail,floridanus,,Sylvilagus,180124,Undetermined,,09/28/2012,,09/28/2012,,found on side of road,,Collision / Moving object / Car/truck/motorcycle,Yes,Observed,,FL,Charlotte County,,,26.9965179,-82.0581099,4.228000164
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,12-0017092,120926-02,grn band 58 L,Mammals,Eastern Cottontail,floridanus,,Sylvilagus,180124,Undetermined,,09/28/2012,,09/28/2012,,found on side of road,,Collision / Moving object / Car/truck/motorcycle,Yes,Observed,,FL,Charlotte County,,,26.9965179,-82.0581099,4.228000164
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,12-0017093,,,Birds,Barred Owl,varia,,Strix,177921,Female,,09/28/2012,,09/28/2012,,found in road,,Human,Yes,Observed,,FL,Holmes County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,12-0017094,,,Mammals,eastern gray squirrel,carolinensis,,Sciurus,180175,Male,,09/20/2012,,09/28/2012,,dhydth,,"Collision / Stationary object / Natural features, not moving",Yes,Observed,,FL,Alachua County,,,39.815569120103,-98.550899212135,554.8638916016
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,12-0017095,,,Mammals,eastern gray squirrel,carolinensis,,Sciurus,180175,Male,,09/20/2012,,09/28/2012,,dhydth,,"Collision / Stationary object / Natural features, not moving",Yes,Observed,,FL,Alachua County,,,39.8155691201,-98.5508992121,554.8638916016
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,12-0017099,,,Mammals,Eastern Cottontail,floridanus,,Sylvilagus,180124,Indeterminate,dasdfasdf,09/28/2012,,09/28/2012,,Kidnapped,,Inappropriate human possession / Abduction with intent of rescue,Yes,Suspected,,FL,Brevard County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,12-0017099,,,Mammals,Eastern Cottontail,floridanus,,Sylvilagus,180124,Indeterminate,V̩rifier poids,09/28/2012,,09/28/2012,,Kidnapped,,Inappropriate human possession / Abduction with intent of rescue,Yes,Suspected,,FL,Brevard County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,12-0017102,,,Birds,Bald Eagle,leucocephalus,,Haliaeetus,175420,Male,,09/06/2012,,09/28/2012,,dfhgds,,Electrocution/Electric Shock,Yes,Observed,,FL,Alachua County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,12-0017646,,,Birds,Red-tailed Hawk,jamaicensis,,Buteo,175350,Female,,10/11/2012,,10/13/2012,,"Found on the side of the road, couldn't get out to drop animal off, kept it on heat for two days.","heat, water",Collision / Stationary object / Walls/windows,Yes,Suspected,"Looked very dizzy, bloody nose",GA,Grady County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,12-0017960,12-0032,red,Birds,Common Buzzard,buteo,,Buteo,,Undetermined,,10/25/2012,,10/25/2012,,found in field,,Projectile / Weapon / Gunshot / Rifle/Handgun,Yes,Observed,,AL,Autauga County,,,56.120135739828,14.488203342186,8.3339557648
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,12-0018011,4934134,alkdjfalkdjfa,Mammals,Alaskan Hare,othus,,Lepus,552513,Female,,10/27/2012,5:00 PM,10/27/2012,,dead on arrival,,Dead on Arrival,Yes,Suspected,,KA,Allen County,,,,,
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,12-0018881,2012-00001,,Mammals,common raccoon,lotor,,Procyon,180575,Undetermined,,11/19/2012,,11/19/2012,,,,Inappropriate human possession / Pet,Yes,Suspected,,NJ,Mercer County,,,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,12-0018940,12-4578,,Birds,Brown Pelican,occidentalis,,Pelecanus,174685,Undetermined,,,,11/21/2012,,,,Collision / Moving object / Car/truck/motorcycle,Yes,Observed,,KA,Brown County,,,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,12-0019129,Micah,,Mammals,eastern gray squirrel,carolinensis,,Sciurus,180175,Female,,,,11/26/2012,,,,"Orphan, true / Parents not available",Yes,Observed,,NY,Bronx County,,,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,12-0019140,,,Birds,Red-tailed Hawk,jamaicensis,,Buteo,175350,Undetermined,,11/26/2012,1:00 PM,11/26/2012,,,,Collision / Moving object / Human propelled object,Yes,Suspected,,NY,Niagara County,,beach ridge rd,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,12-0019141,,,Birds,Ruby-throated Hummingbird,colubris,,Archilochus,178032,Male,,11/20/2012,6:00 PM,11/26/2012,,,,Failure to thrive/Maladaption,Yes,Observed,,NY,Erie County,,,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,12-0019143,,,Birds,Double-crested Cormorant,auritus,,Phalacrocorax,174717,Undetermined,,11/15/2012,9:15 AM,11/26/2012,,under my car,,Gas flare,Yes,Suspected,,NY,Erie County,,63 military,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,12-0020152,,,Reptiles,loggerhead sea turtle,caretta,,Caretta,173830,Undetermined,,12/12/2012,,12/12/2012,,mono filament,,Gas flare,Yes,Suspected,burned,FL,Clay County,"US Post Office, Penney Farms, FL 32043, USA",dsgsd,29.983303922689,-81.833383601758,28.0286331177
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,12-0020153,,,Reptiles,Green Sea Turtle,mydas,,Chelonia,173833,Undetermined,,12/11/2012,,12/12/2012,,dropped off by fwc,,Failure to thrive/Maladaption,Yes,Suspected,,FL,Palm Beach County,"14200 U.S. 1, Juno Beach, FL 33408, USA",,26.90367505627,-80.0600978979,2.3225409985
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,12-0020154,TAL-120512-01,12100,Reptiles,Green Sea Turtle,mydas,,Chelonia,173833,Male,,12/05/2012,7:00 AM,12/05/2012,,Turtle was found entangled in monofilament,,Behavioral Stranding,Yes,Suspected,,FL,Palm Beach County,"Juno Beach Fishing Pier, 1293 Hwy A1A, North Palm Beach, FL 33408, USA",,26.8930689,-80.0571556,5.9077243805
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,12-0020246,,,Reptiles,loggerhead sea turtle,caretta,,Caretta,173830,Undetermined,,12/13/2012,,12/13/2012,,stranded on beach,nothing,Behavioral Stranding,Yes,Suspected,,FL,Palm Beach County,"Jupiter Inlet, Florida, USA",,26.945161941752,-80.070906882031,0.1633041948
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,12-0021060,,,Birds,Eastern Screech-Owl,asio,NULL,Otus,177856,Female,,12/19/2012,,12/19/2012,,,,"Orphan, true / Parents not available",Yes,Observed,,MI,Monroe County,,,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0000235,,,Reptiles,Eastern Box Turtle,carolina,,Terrapene,173777,Male,,01/04/2013,10:30 AM,01/04/2013,,Found on road near intersection of bypass and waller mill,placed in box and transported to humane society,Collision / Moving object / Car/truck/motorcycle,Yes,Observed,,VA,James City County,,,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0000239,13-0001,,Mammals,eastern gray squirrel,carolinensis,,Sciurus,180175,Female,,,,01/04/2013,,,,Animal interaction / Domestic animal / Cat,Yes,Suspected,,FL,Brevard County,,,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0000461,,,Reptiles,Eastern Box Turtle,carolina,,Terrapene,173777,Undetermined,,01/03/2013,,01/07/2013,,,fed water and chicken,Collision / Stationary object / Walls/windows,Yes,Observed,,KA,Dickinson County,,,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0000520,,,Mammals,eastern gray squirrel,carolinensis,,Sciurus,180175,Female,,01/07/2013,,01/08/2013,,,,"Orphan, true / Parents not available",Yes,Observed,,FL,Leon County,,,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0000646,2013-00005,b654,Birds,American Robin,migratorius,,Turdus,179759,Indeterminate,,01/03/2013,8:00 PM,01/10/2013,,,,Animal interaction / Domestic animal / Cat,Yes,Suspected,,NJ,Hunterdon County,"U.S. 202 & Route 179, East Amwell Township, NJ 08551, USA",,40.44657348032,-74.848405301514,80.1580429077
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0000647,2013-00006,b655,Birds,American Robin,migratorius,,Turdus,179759,Indeterminate,,01/03/2013,8:00 PM,01/10/2013,,,,Animal interaction / Domestic animal / Cat,Yes,Suspected,,NJ,Hunterdon County,"U.S. 202 & Route 179, East Amwell Township, NJ 08551, USA",,40.4465734803,-74.8484053015,80.1580429077
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0000685,,,Mammals,Eastern Cottontail,floridanus,,Sylvilagus,180124,Female,,01/11/2013,9:00 AM,01/11/2013,,found on ground,none,Environment / Weather / Precipitation,Yes,Observed,,OH,Stark County,"123 North Main Street, Navarre, OH 44662, USA",,40.7211035,-81.5226751,285.7607116699
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0000703,2013-00015,,Birds,American Robin,migratorius,,Turdus,179759,Indeterminate,,01/12/2013,2:00 PM,01/12/2013,,,no,Animal interaction / Domestic animal / Cat,Yes,Suspected,,NJ,Mercer County,"River Drive & Church Road, Hopewell Township, NJ 08560, USA",,40.307630378397,-74.881248015869,13.6843032837
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0000704,2013-00016,,Mammals,blue fox,lagopus,,Vulpes,622025,Male,,01/12/2013,2:00 PM,01/12/2013,,Fox found in backyard lying near the bushes.,,Undetermined,Yes,Suspected,,NJ,Mercer County,"Shackamaxon Drive & Village Court, Hamilton Township, NJ 08690, USA",,40.227195,-74.6448372,30.4337596893
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0000820,,,Birds,Barred Owl,varia,,Strix,177921,Undetermined,,01/13/2013,1:50 PM,01/13/2013,,FOUN ANIMAL IN MY YARD,FLUIDS,Animal interaction / Domestic animal / Dog,No,Suspected,,GA,Decatur County,,,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0000820,,,Birds,Barred Owl,varia,,Strix,177921,Undetermined,,01/13/2013,1:50 PM,01/13/2013,,FOUN ANIMAL IN MY YARD,FLUIDS,"Orphan, true / Parents not available",Yes,Suspected,,GA,Decatur County,,,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0000844,black,,Mammals,Virginia Opossum,virginiana,,Didelphis,179921,Indeterminate,,10/11/2012,5:00 PM,01/14/2013,,"broken wing, not flying",deer carcas,Undetermined,Yes,Observed,unable to fly,OH,Stark County,"125 West State Street, Alliance, OH 44601, USA",same as donor,40.9017268,-81.1077223,374.0446777344
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0000943,,,Birds,Red-tailed Hawk,jamaicensis,,Buteo,175350,Female,,,,01/16/2013,,,,Failure to thrive/Maladaption,Yes,Suspected,,IN,Carroll County,,,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0001383,,,Mammals,eastern gray squirrel,carolinensis,,Sciurus,180175,Female,,,,01/25/2013,,,,Animal interaction / Domestic animal / Cat,Yes,Suspected,,VA,Fairfax County,"Mountain View Court, Herndon, VA 20171, USA",,38.9361642,-77.4199528,93.9386062622
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0002045,,,Birds,Cooper's Hawk,cooperii,,Accipiter,175309,Undetermined,,,,02/08/2013,,,,Undetermined,Yes,Suspected,,FL,Pasco County,,,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0002079,,,Mammals,eastern gray squirrel,carolinensis,,Sciurus,180175,Female,,,,02/10/2013,,,,"Orphan, true / Parents not available",Yes,Suspected,,AK,Bristol Bay Borough,,,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0002201,,,Birds,Common Myna,tristis,,Acridotheres,554025,Male,,02/11/2013,3:00 PM,02/11/2013,,,,"Orphan, true / Parents not available",Yes,Suspected,,FL,Monroe County,,1801 white st,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0003985,13-0001,RMM1,Birds,American Crow,brachyrhynchos,,Corvus,179731,Undetermined,,,,03/14/2013,,,,Undetermined,Yes,Observed,,AK,Aleutians East Borough,,,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0004534,2013-02560,,Mammals,Eastern Cottontail,floridanus,,Sylvilagus,180124,Male,,,,03/21/2013,,,,Collision / Moving object / Car/truck/motorcycle,Yes,Suspected,,AK,Kodiak Island Borough,,,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0006851,,red,Birds,Eastern Screech-Owl,asio,NULL,Otus,177856,Undetermined,,04/06/2013,7:00 PM,04/07/2013,,,,Collision / Moving object / Car/truck/motorcycle,Yes,Observed,,NJ,Warren County,"2 Main Street, Hackettstown, NJ 07840, USA",,40.8587237,-74.8397672,197.0932159424
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0011707,,,Birds,Clay-colored Robin,grayi,,Turdus,179768,Undetermined,,05/08/2013,1:15 PM,05/08/2013,,Cat-Caught,,Animal interaction / Domestic animal / Cat,Yes,Suspected,,CT,Middlesex County,,,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0011710,13-1969,black and white spots with some gray,Birds,Bachman's Sparrow,aestivalis,,Aimophila,179386,Undetermined,,05/04/2013,5:35 PM,05/08/2013,,fell out of nest and had to get bird to wrap in towel to transfer to bird unit.,None,Animal interaction / Domestic animal / Cat,Yes,Observed,,MI,Washtenaw County,"North Main Street, Ann Arbor, MI, USA",,42.2903371,-83.7470403,238.3455505371
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0018837,,,Birds,Red-shouldered Hawk,lineatus,,Buteo,175359,Undetermined,,,,06/09/2013,,,,Collision / Moving object / Car/truck/motorcycle,Yes,Observed,,FL,Pasco County,,,39.8128001147,-98.5466935084,562.3846435547
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0019615,,,Mammals,gray wolf,lupus,,Canis,180596,Female,,,,06/13/2013,,,,Collision / Moving object / Bicycle,Yes,Observed,,NY,Cayuga County,"Cayuga Street, Groton, NY 13073, USA",,42.599385004279,-76.370630274097,302.4575195313
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0020448,,,Mammals,Coyote,latrans,,Canis,180599,Female,,,,06/17/2013,,,,Behavioral Stranding,Yes,Observed,,NY,Franklin County,,,39.813920916,-98.5486461566,560.9243774414
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0027206,bob,noen,Reptiles,Arizona Black Rattlesnake,oreganus,cerberus,Crotalus,683063,Female,,07/03/2013,,07/23/2013,,swsf sfsd fsdfsdf,yes,Referral / Non-permit holding facility,Yes,Observed,,NY,Tompkins County,100 Main Street,,42.5090629,-76.356861,315.2705688477
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0027207,bob,noen,Reptiles,Arizona Black Rattlesnake,oreganus,cerberus,Crotalus,683063,Female,,07/03/2013,,07/23/2013,,swsf sfsd fsdfsdf,yes,Referral / Non-permit holding facility,Yes,Observed,,NY,Tompkins County,100 Main Street,,42.5090629,-76.356861,315.2705688477
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0031621,Sara,,Birds,Canada Goose,canadensis,,Branta,174999,Undetermined,,,,08/17/2013,,,,"Orphan, true",Yes,Observed,,NY,Nassau County,,,39.813920916,-98.5486461566,560.9243774414
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0031899,,,Mammals,eastern fox squirrel,niger,,Sciurus,180172,Male,,,,08/19/2013,,,,"Orphan, true",Yes,Observed,,IN,Porter County,,,39.813920916,-98.5486461566,560.9243774414
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0031922,"Woody, brown",hair lip,Birds,American Coot,americana,,Fulica,176292,Undetermined,,08/19/2013,6:00 AM,08/19/2013,,Found in street after HBC,"administered Sub Q Fluids, kept warm",Collision / Moving object / Car/truck/motorcycle,Yes,Suspected,Truck traveling 55 mph,IN,Porter County,"South Baums Bridge Road, IN, USA",,41.3148483,-87.0559048,206.7877655029
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0031922,"Woody, brown",hair lip,Birds,American Coot,americana,,Fulica,176292,Undetermined,,08/19/2013,6:00 AM,08/19/2013,,Found in street after HBC,"administered Sub Q Fluids, kept warm",Environment / Weather / Temperature,No,Suspected,freezing rain,IN,Porter County,"South Baums Bridge Road, IN, USA",,41.3148483,-87.0559048,206.7877655029
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0031923,"Jed, yellow",bald,Birds,American Coot,americana,,Fulica,176292,Undetermined,V̩rifier poids,08/19/2013,6:00 AM,08/19/2013,,Found in street after HBC,"administered Sub Q Fluids, kept warm",Collision / Moving object / Car/truck/motorcycle,Yes,Suspected,Truck traveling 55 mph,IN,Porter County,"South Baums Bridge Road, IN, USA",,41.3148483,-87.0559048,206.7877655029
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0031923,"Jed, yellow",bald,Birds,American Coot,americana,,Fulica,176292,Undetermined,V̩rifier poids,08/19/2013,6:00 AM,08/19/2013,,Found in street after HBC,"administered Sub Q Fluids, kept warm",Environment / Weather / Temperature,No,Suspected,freezing rain,IN,Porter County,"South Baums Bridge Road, IN, USA",,41.3148483,-87.0559048,206.7877655029
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0033366,,,Mammals,muskrat,zibethicus,,Ondatra,180318,Undetermined,,08/13/2013,1:25 AM,08/29/2013,,dgd,none,Collision / Moving object,Yes,Observed,,OK,Cleveland County,,,39.813920916,-98.5486461566,560.9243774414
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0033368,,,Mammals,Virginia Opossum,virginiana,,Didelphis,179921,Undetermined,,08/13/2013,1:25 AM,08/29/2013,,dgd,none,Collision / Moving object,Yes,Observed,,OK,Cleveland County,,,39.813920916,-98.5486461566,560.9243774414
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0033666,,,Reptiles,Alabama Red-bellied Cooter,alabamensis,,Pseudemys,173804,Indeterminate,,09/10/2013,9:50 AM,09/01/2013,,Run over by tank,Applied helium gas to re-inflate,Collision / Moving object / Human propelled object,Yes,Observed,,IN,Boone County,,On the road,39.813920916,-98.5486461566,560.9243774414
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0036889,,,Birds,Red-tailed Hawk,jamaicensis,,Buteo,175350,Male,,,,09/27/2013,,,,Confiscation,Yes,Observed,,IL,Macon County,,Nelson Park,39.8426018,-88.9536555,206.0336608887
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0037226,,,Mammals,fox squirrel,niger,niger,Sciurus,202357,Male,,10/01/2013,10:00 AM,10/01/2013,,gbd,fed kitten milk,"Orphan, true",Yes,Suspected,,IN,Benton County,,,39.813920916,-98.5486461566,560.9243774414
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0037613,Red,,Mammals,Eastern Cottontail,floridanus,,Sylvilagus,180124,Undetermined,,10/07/2013,1:00 AM,10/07/2013,,Cuts from lawn mower,Fed cows milk and cheerios,Nest/Habitat Disturbance/Destruction,Yes,Suspected,Lawn mower ran over nest,WI,Dane County,"122 West Washington Avenue, Madison, WI 53703, USA",Under porch,43.073639,-89.386381,273.3082885742
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0037663,,,Birds,Northern Saw-whet Owl,acadicus,,Aegolius,177942,Undetermined,,10/08/2013,,10/08/2013,,Found in backyard,none,Behavioral Stranding,Yes,Observed,,WI,Dane County,"East Washington Avenue & Rowland Avenue, Madison, WI 53704, USA",,43.1165121,-89.3253438,267.7904052734
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0037894,,,Mammals,Eastern Cottontail,floridanus,,Sylvilagus,180124,Undetermined,,,,10/11/2013,,,,"Orphan, true / Parents not available",Yes,Observed,,FL,Brevard County,,,39.813920916,-98.5486461566,560.9243774414
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0040329,,,Mammals,Eastern Cottontail,floridanus,,Sylvilagus,180124,Male,,,,11/08/2013,,,,Animal interaction / Domestic animal / Cat,Yes,Suspected,,WI,Dane County,,,39.813920916,-98.5486461566,560.9243774414
Visitor WILD-ONe Account,1800 South Delphine Ave PO Box 1557,Waynesboro,VA,22980,Waynesboro (City),United States,(540) 942-9453,Active,13-0040376,2013-02064,JN,Mammals,Red Fox,vulpes,,Vulpes,180604,Female,,11/09/2013,6:30 AM,11/09/2013,,,,Electrocution/Electric Shock,Yes,Suspected,,NJ,Hunterdon County,"Ringoes, East Amwell Township, NJ, USA",,40.4289892,-74.8675067,66.8470687866
