patients.address_found,patients.admitted_at,patients.admitted_by,patients.city_found,patients.clinical_signs,patients.common_name,patients.county_found,patients.diagnosis,patients.disposition,patients.found_at,patients.keywords,patients.lat_found,patients.lng_found,patients.name,patients.notes_about_rescue,patients.reason_for_disposition,patients.reasons_for_admission,patients.release_type,species.genus,species.species
6571 Wilson Rd.,2020-02-19 09:43:00,KD,Marshall,,Red-shouldered Hawk,Fauquier,T - Unknown Trauma,Euthanized +24hr,2020-02-19,,,,,n/a,Poor Prognosis,down next to creek just 4 feet from paved road.,,Buteo,lineatus
Watermill Rd.,2020-02-19 12:07:00,KD,Purcellville,,Northern Cardinal,Loudoun,H - Hit by Vehicle,Euthanized +24hr,2020-02-19,,,,,would like to release,Poor Prognosis,found in middle of road.  unable to fly.,,Cardinalis,cardinalis
2021 Aquia Dr.,2020-02-19 16:27:00,KD,Stafford Courthouse,,Bald Eagle,Stafford,T - Unknown Trauma,Released,2020-02-19,suspected electrocution,,,,n/a,Ready for release,"found on ground at Briar Patch Park in Aquia Harbor.  Found under power line.  contained by Sgt. Anthony McCall, stafford county A.C.",Hard,Haliaeetus,leucocephalus
Intersection of Shepherds Mill Rd and Wickliffe Rd.,2020-02-20 09:19:00,JR,Berryville,,Eastern Towhee,Clarke,H - Hit by Vehicle,Dead on arrival,2020-02-20,,,,,n/a,Dead on arrival,found injured in road.,,Pipilo,erythrophthalmus
212 Elm St.,2020-02-20 09:46:00,KD,Warrenton,,American Crow,Fauquier,T - Unknown Trauma,Euthanized in 24hr,2020-02-20,,,,,n/a,Poor Prognosis,Found in neighbors yard dragging wing,,Corvus,brachyrhynchos
100 Rosedale Dr,2020-02-20 13:02:00,JB,Stephens City,,Downy Woodpecker,Frederick,T - Unknown Trauma,Euthanized in 24hr,2020-02-20,,,,,,Poor Prognosis,"on a tree - unable to fly, seemed to have something wrong with its wing",,Dryobates,pubescens
35297 Paxson Rd,2020-02-20 13:14:00,JR,Round Hill,,Yellow-bellied Sapsucker,Loudoun,W - Window Strike,Died +24hr,2020-02-20,,,,,,Natural Death,Window Strike,,Sphyrapicus,varius
3597 Milestone Rd,2020-02-21 13:27:00,JR,The Plains,,American Robin,Fauquier,T - Unknown Trauma,Euthanized +24hr,2020-02-21,,,,,,Poor Prognosis,On side of road - couldn't fly,,Turdus,migratorius
9903 Old Colchester Rd.,2020-02-21 16:18:00,KD,Lorton,,Striped Skunk,Fairfax,T - Unknown Trauma,Released,2020-02-21,,38.690208,-77.2033004,,n/a,Ready for release,found injured this morning near stable.  had crawled under shed by the time they tried to contain him.,,Mephitis,mephitis
1539 Nester Drive,2020-02-22 13:46:00,CM,Winchester,,Mourning Dove,Frederick,T - Unknown Trauma,Died in 24hr,2020-02-22,,,,,,Natural Death,unknown injury,,Zenaida,macroura
Hisey Avenue x 42,2020-02-23 13:56:00,CM,Woodstock,,Virginia Opossum,Shenandoah,H - Hit by Vehicle,Released,2020-02-22,,,,,,Ready for release,Standing in the middle of the road,Hard,Didelphis,virginiana
6624 Hallwood Ave,2020-02-23 14:38:00,JA,Falls Church,,Mourning Dove,Fairfax,A - Abduction,Released,2020-02-23,human raised,,,,,Ready for release,"found as fledgling drowning in baby pool, raised in captivity since then with other birds, surrendered at animal shelter on 2/21/2020.",,Zenaida,macroura
Patchwork/ N. Umberland,2020-02-23 10:37:00,KD,Stephenson,,Killdeer,Frederick,T - Unknown Trauma,Euthanized in 24hr,2020-02-24,,,,,n/a,Poor Prognosis,found walking in road w/ possible injured wing and leg,,Charadrius,vociferus
On the Gas Line,2020-02-24 15:11:00,CM,Shenandoah Farms,,Red-tailed Hawk,Clarke,U - Unknown,Died in 24hr,2020-02-24,rodenticide suspect,,,,n/a,Natural Death,saw it on gas line.  did try to fly away so picked up and brought here,,Buteo,jamaicensis
Appalachian Ridge Rd. (short rd),2020-02-24 15:49:00,KD,Front Royal,,Virginia Opossum,Warren,H - Hit by Vehicle,Euthanized in 24hr,2020-02-24,,,,,n/a,Poor Prognosis,HBV. sitting in middle of dirt road.,,Didelphis,virginiana
613 York Ln SE,2020-02-25 12:10:00,KD,Leesburg,,Eastern Gray Squirrel,Loudoun,B - Baby,Released,2020-02-25,"B - Baby, failed renesting",,,,n/a,Ready for release,found 3 babies on the 23rd.  mom took back other 2.  didnt seem interested in this one.  dead adult found nearby,,Sciurus,carolinensis
2444 Jones Rd.,2020-02-25 12:14:00,KD,Winchester,,American Goldfinch,Frederick,T - Unknown Trauma,Died in 24hr,2020-02-25,,,,,would like to release,Natural Death,hanging around heated bird bath.  saw a few days ago.  weak enough to catch today,,Spinus,tristis
Ridgeway Rd. (see GPS),2020-02-25 14:59:00,KD,Front Royal,,Red-shouldered Hawk,Warren,T - Unknown Trauma,Released,2020-02-25,old gunshot injury,38.925921,-78.255533,,n/a,Ready for release,he cant seem to fly.  he fell over and we picked him up.  found on side of the road,,Buteo,lineatus
138 Leslie Ln,2020-02-26 09:08:00,KD,Berryville,,Barred Owl,Clarke,M - Human non-intentional,Released,2020-02-26,trapped in line,,,,n/a,Ready for release,Found tangled in fishing line on property.  Did clip some flight feathers to get him free.,Hard,Strix,varia
Intersection of Route 50 and Route 15.  Gilberts Corner,2020-02-27 17:21:00,KD,Aldie,,Eastern Cottontail,Loudoun,H - Hit by Vehicle,Euthanized in 24hr,2020-02-27,,,,,n/a,Poor Prognosis,HBV. broken leg.  found on road.,,Sylvilagus,floridanus
388 Paulas Circle,2020-02-28 09:48:00,KD,Kearneysville,,American Goldfinch,Jefferson,I - Infectious Disease,Released,2020-02-28,Mycoplasma,,,,would like to release,Ready for release,found on ground w/ eye disease,,Spinus,tristis
102 Fancy Ct.,2020-02-28 16:29:00,KD,Stephens City,,American Robin,Frederick,T - Unknown Trauma,Euthanized +24hr,2020-02-28,,,,,would like to release,Poor Prognosis,found under tree in neighbors yard on side.,,Turdus,migratorius
7921 Linden Hall Ct,2020-02-29 10:48:00,JB,Spotsylvania,,House Finch,Spotsylvania,W - Window Strike,Released,2020-02-28,,,,,,Ready for release,"""I heard a thump on my window and saw it on the ground w/ mate nearby in a tree talking to it.""",Hard,Haemorhous,mexicanus
"Historic Port of Falmouth Park, 401 River Rd",2020-03-01 10:56:00,JR,Falmouth,,Pileated Woodpecker,Stafford,H - Hit by Vehicle,Released,2020-03-01,,,,,carrying head trauma bird on her shoulder and taking selfies with it upon admission - FINDER SHOULD NOT RELEASE,Ready for release,in middle of road,Hard,Dryocopus,pileatus
1301 blue heron way,2020-03-01 13:51:00,JR,ganesville,,Northern Cardinal,Prince William,T - Unknown Trauma,Died in 24hr,2020-03-01,,,,,,Natural Death,found on ground,,Cardinalis,cardinalis
2493 Hunting Ridge Rd.,2020-03-01 10:47:00,JR,Winchester,,Virginia Opossum,Frederick,I - Infectious Disease,Euthanized in 24hr,2020-03-02,besnoitia,,,,n/a,Poor Prognosis,laying on road.  back legs not working.,,Didelphis,virginiana
4561 John Marshall Hwy,2020-03-01 11:26:00,JR,Linden,,Eastern Screech Owl,Warren,H - Hit by Vehicle,Released,2020-03-02,,,,,n/a,Ready for release,HBV,,Megascops,asio
321 Surrey Club Ln,2020-03-01 12:00:00,JR,Stephens City,,Mourning Dove,Frederick,T - Unknown Trauma,Euthanized +24hr,2020-03-02,,,,,n/a,Poor Prognosis,found in fenced in back yard unable to fly away,,Zenaida,macroura
SeeGPS (Beverly Mill Dr.),2020-03-02 12:21:00,KD,Broad Run,,Red-tailed Hawk,Fauquier,U - Unknown,Dead on arrival,2020-03-02,,38.824329,-77.708938,,n/a,Dead on arrival,Found on the ground in nature preserve.  unable to fly,,Buteo,jamaicensis
SeeGPS (Beverly Mill Dr.),2020-03-02 12:21:00,KD,Broad Run,,Red-tailed Hawk,Fauquier,T - Unknown Trauma,Euthanized in 24hr,2020-03-02,,,,,n/a,Poor Prognosis,Found on the ground in nature preserve.  unable to fly,,Buteo,jamaicensis
1837 Bordens Spring Rd.,2020-03-02 13:18:00,KD,White Post,,Striped Skunk,Clarke,M - Human non-intentional,Euthanized +24hr,2020-03-02,trapped,,,,n/a,Poor Prognosis,"stuck underneath cattle guard in concrete well.  put board down in hope they could climb out.  yesterday there was 3, and today only 2 still surviving.",,Mephitis,mephitis
1837 Bordens Spring Rd.,2020-03-02 13:18:00,KD,White Post,,Striped Skunk,Clarke,M - Human non-intentional,Released,2020-03-02,trapped,,,,n/a,Ready for release,"stuck underneath cattle guard in concrete well.  put board down in hope they could climb out.  yesterday there was 3, and today only 2 still surviving.",,Mephitis,mephitis
35815 Snake Hill Rd.,2020-03-02 14:35:00,KD,Middleburg,,Northern Raccoon,Loudoun,D - Domestic animal attack,Euthanized in 24hr,2020-03-02,"dog attack, distemper suspect",38.996998,-77.772615,,n/a,Poor Prognosis,"fox hunt had racoon pinned.  may have had contact with dogs, but no idea who dogs belong to.",,Procyon,lotor
35815 Snake Hill Rd.,2020-03-02 14:35:00,KD,Middleburg,,Rock Pigeon,Loudoun,X - Invasive,Euthanized in 24hr,2020-03-02,trauma,,,,n/a,Poor Prognosis,"fox hunt had racoon pinned.  may have had contact with dogs, but no idea who dogs belong to.",,Columba,livia
545 Mt. Prospect Ln.,2020-03-03 10:19:00,KD,Boyce,,Northern Raccoon,Clarke,D - Domestic animal attack,Euthanized in 24hr,2020-03-03,"dog attack, possible distemper",,,,n/a,Poor Prognosis,Dogs alerted owner that Raccoon was under porch last night.  barked at him all night,,Procyon,lotor
106 island Farm Lane,2020-03-03 13:17:00,KD,Boyce,,White-footed Mouse,Clarke,T - Unknown Trauma,Released,2020-03-03,,,,,n/a,Ready for release,"found downstairs in bathroom, quiet, possible eye trauma",,Peromyscus,leucopus
3165 Williamsport Pike (next door neighbor's yard),2020-03-03 15:47:00,KD,Martinsburg,,Canada Goose,Berkeley,T - Unknown Trauma,Euthanized in 24hr,2020-03-03,,,,,n/a,Poor Prognosis,down yesterday and today.  able to contain in dog crate.,,Branta,canadensis
200 Skyline Vista Dr.,2020-03-03 17:34:00,KD,Front Royal,,Virginia Opossum,Warren,I - Infectious Disease,Euthanized in 24hr,2020-03-03,besnoitia,,,,n/a,Poor Prognosis,animal found unable to walk,,Didelphis,virginiana
See GPS,2020-03-04 16:29:00,KD,Amissville,,Big Brown Bat,Rappahannock,D - Domestic animal attack,Euthanized in 24hr,2020-03-04,cat attack,38.67584,-77.940768,,n/a,Rabies Testing,small bat found on ground surrounded by colony cats,,Eptesicus,fuscus
4417 Wheeler Ave,2020-03-04 16:40:00,KD,Alexandria,,Red-tailed Hawk,Alexandria City,J - Intentional Human Attack,Released,2020-03-04,"lead, gunshot",,,,n/a,Ready for release,found in parking lot unable to fly.  case # A20-004910,Hard,Buteo,jamaicensis
42726 Ogilvie Square,2020-03-05 11:17:00,KD,Ashburn,,Barred Owl,Loudoun,T - Unknown Trauma,Released,2020-03-05,possible electrocution,,,,n/a,Ready for release,sitting on sidewalk.  HBV? Taken to TLC by LCAS,,Strix,varia
4465 Blue Mountain Rd.,2020-03-05 12:50:00,KD,Linden,,White-footed Mouse,Warren,M - Human non-intentional,Released,2020-03-05,trapped,,,,n/a,Ready for release,Caught last night in live trap.  small wound on nose.  doesnt appear to be well.,,Peromyscus,leucopus
38777 Old Wheatland Rd.,2020-03-05 16:52:00,KD,Waterford,,Meadow Vole,Loudoun,D - Domestic animal attack,Died +24hr,2020-03-05,cat attack,,,,would like to release,Natural Death,found in cats mouth,,Microtus,pennsylvanicus
112 Running Bear Ct.,2020-03-06 13:33:00,KD,Front Royal,,Silver-haired Bat,Warren,T - Unknown Trauma,Euthanized in 24hr,2020-03-06,,,,,n/a,rabies testing,Bat found in bed w/ hair wrapped around wing.  seems injured.,,Lasionycteris,noctivagans
1512 Barksdale Drive,2020-03-07 15:42:00,JR,Leesburg,,Eastern Gray Squirrel,Loudoun,S - Non-infectious Disease,Released,2020-03-07,"pneumonia, B - Baby, orphan",,,,"Found under a truck hood, dead mom nearby.  Transfer from KT who has siblings",Ready for release,Transfer from KT who has siblings,,Sciurus,carolinensis
300 Sunny Canyon Lane,2020-03-08 15:49:00,cm,Boyce,,Eastern Cottontail,Clarke,D - Domestic animal attack,Transferred,2020-03-08,"cat attack, B - Baby",,,,"Found in the house, presumed cats brought in, injuries to abdomen",Continued Care,Cat attack,,Sylvilagus,floridanus
Lake Front Royal,2020-03-08 15:59:00,cm,Front Royal,,Virginia Opossum,Warren,H - Hit by Vehicle,Dead on arrival,2020-03-08,"B - Baby, small",,,,,Dead on arrival,Mother hit by car,,Didelphis,virginiana
Lake Front Royal,2020-03-08 15:59:00,cm,Front Royal,,Virginia Opossum,Warren,H - Hit by Vehicle,Dead on arrival,2020-03-08,"B - Baby, small",,,,,Dead on arrival,Mother hit by car,,Didelphis,virginiana
Lake Front Royal,2020-03-08 15:59:00,cm,Front Royal,,Virginia Opossum,Warren,H - Hit by Vehicle,Euthanized in 24hr,2020-03-08,"B - Baby, small",,,,,Poor Prognosis,Mother hit by car,,Didelphis,virginiana
Lake Front Royal,2020-03-08 15:59:00,cm,Front Royal,,Virginia Opossum,Warren,H - Hit by Vehicle,Euthanized in 24hr,2020-03-08,"B - Baby, small",,,,,Poor Prognosis,Mother hit by car,,Didelphis,virginiana
445 Orchard Dale Dr.,2020-03-09 09:45:00,KD,Clear Brook,,Eastern Gray Squirrel,Frederick,D - Domestic animal attack,Euthanized +24hr,2020-03-09,"B - Baby, dog attack",,,,,Poor Prognosis,"found out of nest.  fell from roof, dog got a hold of?",,Sciurus,carolinensis
574 New Market Depot Rd.,2020-03-09 10:22:00,KD,New Market,,Cooper's Hawk,Shenandoah,M - Human non-intentional,Died +24hr,2020-03-09,trapped in smelting room,,,,n/a,Natural Death,found outside of a metal factory and was in the smelting room,,Accipiter,cooperii
about 1 mile from 482 Blair Rd.,2020-03-10 15:48:00,KD,Harpers Ferry,,Red-tailed Hawk,Jefferson,T - Unknown Trauma,Euthanized in 24hr,2020-03-10,suspected hbv,,,,n/a,Natural Death,found on side of Rd not far from friends home.  probably HBV,,Buteo,jamaicensis
Intersection of Strasburg Rd and Bucks Mill Rd.,2020-03-11 12:50:00,KD,Front Royal,,Virginia Opossum,Warren,H - Hit by Vehicle,Euthanized in 24hr,2020-03-11,,,,,n/a,Poor Prognosis,HBV,Hard,Didelphis,virginiana
2950 Shawnee Dr.,2020-03-11 13:27:00,KD,Winchester,,Eastern Gray Squirrel,Frederick,M - Human non-intentional,Released,2020-03-11,trapped in chimney,,,,n/a,Ready for release,squirrel fell down the chimney and got caught in the blower.  It has a mouth injury,,Sciurus,carolinensis
21768 Oatlands Rd.,2020-03-11 14:50:00,KD,Aldie,,Red-tailed Hawk,Loudoun,U - Unknown,Died in 24hr,2020-03-11,possible rodenticide,,,,n/a,Natural Death,brought to Kristi Titus house last night by LCAS.  Trauma.,,Buteo,jamaicensis
15968 Hampton Rd.,2020-03-11 15:11:00,KD,Hamilton,,Black Vulture,Loudoun,T - Unknown Trauma,Euthanized +24hr,2020-03-11,,,,,n/a,Poor Prognosis,found unable to stand.  legs out in front.  Diarrhea,,Coragyps,atratus
314 Harry Byrd Hwy,2020-03-11 15:15:00,KD,Bluemont,,White-breasted Nuthatch,Clarke,D - Domestic animal attack,Died +24hr,2020-03-11,cat attack,,,,would like to release,Natural Death,Cat attack,,Sitta,carolinensis
Intersection of Leland Rd and Pine Knoll Rd.,2020-03-11 16:31:00,KD,Stafford,,Bald Eagle,Stafford,T - Unknown Trauma,Euthanized in 24hr,2020-03-11,lead,,,,n/a,Poor Prognosis,Broken wing per A.C. officer.,,Haliaeetus,leucocephalus
113 Sharon Dr.,2020-03-12 11:21:00,KD,Winchester,,Blue Jay,Frederick,T - Unknown Trauma,Died in 24hr,2020-03-12,,,,,would like to release,Natural Death,Found under bird feeder w/ injury,,Cyanocitta,cristata
290 Airport Rd Suite 1,2020-03-12 14:10:00,KD,Winchester,,American Robin,Frederick,T - Unknown Trauma,Died +24hr,2020-03-12,,,,,would like to release,Natural Death,Bird found w/ broken leg,,Turdus,migratorius
end of Riverbend Ct.,2020-03-12 14:19:00,KD,Front Royal,,Striped Skunk,Warren,I - Infectious Disease,Euthanized in 24hr,2020-03-12,suspected distemper,,,,n/a,Poor Prognosis,"Has been in the neighborhood all morning breathing heavily, unable to move",,Mephitis,mephitis
12 Myrtle Road,2020-03-12 16:38:00,KD,Stafford,,Turkey Vulture,Stafford,J - Intentional Human Attack,Euthanized in 24hr,2020-03-12,gunshot,,,,n/a,Poor Prognosis,finder reported to stafford animal control.  was taken to stafford animal shelter for transport.,,Cathartes,aura
22825 Davis Drive,2020-03-12 17:28:00,KD,Sterling,,Canada Goose,Loudoun,T - Unknown Trauma,Euthanized in 24hr,2020-03-12,gunshot,,,,n/a,Poor Prognosis,not using left leg.  appears twisted and upside down,,Branta,canadensis
Intersection of Simpson Creek Rd and Scotland Heights,2020-03-13 12:08:00,KD,Round Hill,,Eastern Cottontail,Loudoun,T - Unknown Trauma,Euthanized in 24hr,2020-03-13,SCWDS ticks,,,,would like to release,Poor Prognosis,found in road near home.  probable HBV.,,Sylvilagus,floridanus
4 E Loudoun St.,2020-03-13 12:21:00,KD,Round Hill,,Red-shouldered Hawk,Loudoun,T - Unknown Trauma,Euthanized in 24hr,2020-03-13,,,,,n/a,Poor Prognosis,found with broken wing,,Buteo,lineatus
1012 Northside Dr.,2020-03-13 12:52:00,KD,Stafford,,Turkey Vulture,Stafford,T - Unknown Trauma,Euthanized in 24hr,2020-03-13,,,,,n/a,Poor Prognosis,Broken wing.  brought to shelter by A.C.,,Cathartes,aura
5362 Leeds Manor Rd.,2020-03-13 16:36:00,KD,Hume,,Eastern Cottontail,Fauquier,D - Domestic animal attack,Euthanized in 24hr,2020-03-13,"dog attack, B - Baby",,,,n/a,Poor Prognosis,Dog brought to patio,,Sylvilagus,floridanus
5362 Leeds Manor Rd.,2020-03-13 16:36:00,KD,Hume,,Eastern Cottontail,Fauquier,D - Domestic animal attack,Euthanized in 24hr,2020-03-13,"dog attack, B - Baby",,,,n/a,Poor Prognosis,Dog brought to patio,,Sylvilagus,floridanus
162 Stony Pointe Way,2020-03-13 17:06:00,KD,Strasburg,,Eastern Cottontail,Shenandoah,D - Domestic animal attack,Transferred,2020-03-13,"cat attack, B - Baby",,,,would like to release,Ready for release,cat attack,,Sylvilagus,floridanus
1587 Parshall Rd.,2020-03-14 11:39:00,cm,Berryville,,Virginia Opossum,Clarke,D - Domestic animal attack,Dead on arrival,2020-03-14,dog attack,,,,owner of dog will take to the vet just in case - unsure if was bitten by opossum. mentioned we will  be following up with the health dep.,Dead on arrival,"heard dog barking, went ou tot the woods, he was shaking the opossum repeatedly.",,Didelphis,virginiana
747 Viewtown Rd.,2020-03-14 11:53:00,HRD,Amissville,,Red-winged Blackbird,Rappahannock,T - Unknown Trauma,Died in 24hr,2020-03-13,,,,,,Natural Death,bird could not fly,,Agelaius,phoeniceus
106 Island Farm Ln,2020-03-14 18:20:00,CM,Boyce,,Eastern Gray Squirrel,Clarke,M - Human non-intentional,Dead on arrival,2020-03-14,B - Baby,,,,,Dead on arrival,stillborn babies of EGS 20-129,,Sciurus,carolinensis
106 Island Farm Ln,2020-03-14 18:20:00,CM,Boyce,,Eastern Gray Squirrel,Clarke,M - Human non-intentional,Dead on arrival,2020-03-14,B - Baby,,,,,Dead on arrival,stillborn babies of EGS 20-129,,Sciurus,carolinensis
Willisville Rd between Foxlease and Old Welbourne,2020-03-14 18:23:00,CM,Upperville,,Eastern Painted Turtle,Loudoun,D - Domestic animal attack,Released,2020-03-14,dog attack,,,,,Ready for release,"I saw the turtle on the side of the road, shell doesn't look good. Possibly attacked by a JR terrier, who I saw loose on the road, put him in a box",Hard,Chrysemys,Picta
19321 Belleau Wood Drive,2020-03-14 18:33:00,cm,Triangle,,Northern Raccoon,Prince William,I - Infectious Disease,Euthanized in 24hr,2020-03-14,rabies distemper suspect,,,,"finders said they called animal control and animals shelter, no one would come out and get it except for a fee.",Poor Prognosis,beside a building window well,,Procyon,lotor
fairfax street,2020-03-14 19:14:00,CM,Alexandria,,Sharp-shinned Hawk,Alexandria,T - Unknown Trauma,Released,2020-03-14,,,,,,Ready for release,"R wing injured, L leg appears injured",Hard,Accipiter,striatus
5644 Red Maple Ct,2020-03-15 11:11:00,JA,Warrenton,,Eastern Cottontail,Fauquier,D - Domestic animal attack,Transferred,2020-03-15,"cat attack, B - Baby",,,,,Continued Care,cat drug in,,Sylvilagus,floridanus
5638 Red Maple Ct,2020-03-15 17:38:00,JA,Warrenton,,Eastern Cottontail,Fauquier,D - Domestic animal attack,Transferred,2020-03-15,"cat attack, B - Baby",,,,,Continued Care,"""My cat brought him home""",,Sylvilagus,floridanus
Ward Ave,2020-03-16 17:40:00,CM,Winchester,,Eastern Gray Squirrel,Frederick,S - Non-infectious Disease,Euthanized +24hr,2020-02-23,B - Baby,,,,,Poor Prognosis,"Found on Ward Ave, one bitten by an animal - as stated by original finder, then transferred from Vicki Windham for developed abscesses",,Sciurus,carolinensis
4 Morain St,2020-03-16 17:44:00,JA,Front Royal,,Eastern Cottontail,Warren,D - Domestic animal attack,Died in 24hr,2020-03-15,"cat attack, B - Baby",,,,,Natural Death,found on porch,,Sylvilagus,floridanus
4 Morain St,2020-03-16 17:44:00,JA,Front Royal,,Eastern Cottontail,Warren,D - Domestic animal attack,Euthanized in 24hr,2020-03-15,"cat attack, B - Baby",,,,,Poor Prognosis,found on porch,,Sylvilagus,floridanus
32 Jenkins Ct,2020-03-16 17:46:00,JR,Front Royal,,Virginia Opossum,Warren,D - Domestic animal attack,Released,2020-03-15,dog attack,,,,,Ready for release,"Dog attacked opossum, injuries unknown",,Didelphis,virginiana
Mantville Rd (by Farmers Delight),2020-03-16 17:48:00,JA,Middleburg,,Eastern Fox Squirrel,Loudoun,H - Hit by Vehicle,Euthanized in 24hr,2020-03-16,,,,,,Poor Prognosis,Hit in road,,Sciurus,niger
812 Westwood Road,2020-03-16 17:49:00,JA,Berryville,,Eastern Garter Snake,Clarke,S - Non-infectious Disease,Died in 24hr,2020-03-09,,,,,,Natural Death,"Found in garage on floor a week ago, cold. Put him in corner of garage in some towels but he came back out today.",,Thamnophis,Sirtalis
14841 Stonecroft Center Ct,2020-03-17 10:33:00,JR,Chantilly,,Eastern Gray Squirrel,Fairfax,M - Human non-intentional,Released,2020-03-16,"B - Baby, renesting not possible",,,,,Ready for release,They were under the hood of a car towed into the mercedes dealership - car originally from somewhere in Fairfax City,,Sciurus,carolinensis
14841 Stonecroft Center Ct,2020-03-17 10:33:00,JR,Chantilly,,Eastern Gray Squirrel,Fairfax,M - Human non-intentional,Released,2020-03-16,"B - Baby, renesting not possible",,,,,Ready for release,They were under the hood of a car towed into the mercedes dealership - car originally from somewhere in Fairfax City,,Sciurus,carolinensis
14841 Stonecroft Center Ct,2020-03-17 10:33:00,JR,Chantilly,,Eastern Gray Squirrel,Fairfax,M - Human non-intentional,Released,2020-03-16,"B - Baby, renesting not possible",,,,,Ready for release,They were under the hood of a car towed into the mercedes dealership - car originally from somewhere in Fairfax City,,Sciurus,carolinensis
14841 Stonecroft Center Ct,2020-03-17 10:33:00,JR,Chantilly,,Eastern Gray Squirrel,Fairfax,M - Human non-intentional,Released,2020-03-16,"B - Baby, renesting not possible",,,,,Ready for release,They were under the hood of a car towed into the mercedes dealership - car originally from somewhere in Fairfax City,,Sciurus,carolinensis
4818 Midland Rd,2020-03-17 10:40:00,KD,Midland,,Bald Eagle,Fauquier,K - Toxicity,Dead on arrival,2020-03-16,lead,,,,,Dead on arrival,On the side of the road in ditch. Call came into DGIF dispatch,,Haliaeetus,leucocephalus
310 Sing Hass Rd,2020-03-17 10:45:00,KD,Winchester,,American Kestrel,Frederick,T - Unknown Trauma,Released,2020-03-16,,,,,,Ready for release,has been in the area in good shape for over a year. He flopped out of the ditch when I got the mail.,Hard,Falco,sparverius
2038 Millwood Rd,2020-03-17 13:52:00,JR,Millwood,,Eastern Gray Squirrel,Clarke,T - Unknown Trauma,Died +24hr,2020-03-17,gunshot,,,,,Natural Death,virtually inert par terre (on ground),,Sciurus,carolinensis
Blue Mountain Rd,2020-03-18 14:57:00,JA,Front Royal,,Eastern Gray Squirrel,Warren,H - Hit by Vehicle,Euthanized in 24hr,2020-03-18,,,,,,Poor Prognosis,"squirrel was sitting up in middle of road, not moving",,Sciurus,carolinensis
Moler ave,2020-03-18 15:04:00,JR,Martinsburg,,Northern Cardinal,Berkeley,T - Unknown Trauma,Released,2020-03-18,,,,,,Ready for release,Bird was in middle of road not moving. Stopped traffic to get him,,Cardinalis,cardinalis
310 Walnut St (found in flower pot near tree stump on right side of house?),2020-03-18 15:10:00,JR,Berryville,,American Toad,Clarke,M - Human non-intentional,Released,2020-03-18,landscaping,,,,,Ready for release,In a flower bed in the ground,,Anaxyrus,Americanus
18563 Sierra Springs,2020-03-18 15:18:00,JR,Leesburg,,Eastern Gray Squirrel,Loudoun,B - Baby,Released,2020-03-18,"B - Baby, abandoned",,,,,Ready for release,"been hanging about for days - no mom, coming up to people",,Sciurus,carolinensis
18563 Sierra Springs,2020-03-18 15:18:00,JR,Leesburg,,Eastern Gray Squirrel,Loudoun,B - Baby,Released,2020-03-18,"B - Baby, abandoned",,,,,Ready for release,"been hanging about for days - no mom, coming up to people",,Sciurus,carolinensis
18563 Sierra Springs,2020-03-18 15:18:00,JR,Leesburg,,Eastern Gray Squirrel,Loudoun,B - Baby,Released,2020-03-18,"B - Baby, abandoned",,,,,Ready for release,"been hanging about for days - no mom, coming up to people",,Sciurus,carolinensis
107 Willow Oak Circle,2020-03-19 11:29:00,JR,Stephens City,,Eastern Gray Squirrel,Frederick,B - Baby,Released,2020-03-18,"B - Baby, tree cut down, failed renesting",,,,,Ready for release,"Tree cut down on 3/18, babies fell, left out to reunite, still there in am",,Sciurus,carolinensis
107 Willow Oak Circle,2020-03-19 11:29:00,JR,Stephens City,,Eastern Gray Squirrel,Frederick,B - Baby,Died +24hr,2020-03-18,"B - Baby, tree cut down, failed renesting",,,,,Natural Death,"Tree cut down on 3/18, babies fell, left out to reunite, still there in am",,Sciurus,carolinensis
2430-47 Berrville Pike,2020-03-19 12:14:00,JR,Winchester,,Eastern Gray Squirrel,Frederick,B - Baby,Released,2020-03-17,"B - Baby, failed renesting",,,,,Ready for release,"Heard squirrel on the ground under a car, left it to be reunited. Multiple adults approached and ran off. Took inside at end of day and began feeding goat's milk x 2d",,Sciurus,carolinensis
400 Blandy Farm Lane,2020-03-19 14:42:00,JR,Boyce,,Eastern Gray Squirrel,Clarke,T - Unknown Trauma,Euthanized in 24hr,2020-03-19,,,,,,Natural Death,"visitor heard it in downspout, probably in there during hte rainstorm all night",,Sciurus,carolinensis
585 Fairfax Pike,2020-03-19 15:31:00,JB,Stephens City,,Eastern Gray Squirrel,Frederick,T - Unknown Trauma,Transferred,2020-03-19,"B - Baby, unwilling to renest",,,,unwilling to attempt reuniting,Continued Care,It was in the boom of bucket truck,,Sciurus,carolinensis
32 Jenkins Ct,2020-03-19 17:44:00,JR,Front Royal,,Virginia Opossum,Warren,B - Baby,Released,2020-03-16,"B - Baby, dog attack",,,,,Ready for release,dog attacked mom,,Didelphis,virginiana
32 Jenkins Ct,2020-03-19 17:44:00,JR,Front Royal,,Virginia Opossum,Warren,B - Baby,Released,2020-03-16,"B - Baby, dog attack",,,,,Ready for release,dog attacked mom,,Didelphis,virginiana
32 Jenkins Ct,2020-03-19 17:44:00,JR,Front Royal,,Virginia Opossum,Warren,B - Baby,Released,2020-03-16,"B - Baby, dog attack",,,,,Ready for release,dog attacked mom,,Didelphis,virginiana
